[rosmaster.main][INFO] 2024-03-05 05:14:28,144: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-03-05 05:14:28,144: Starting ROS Master Node
[xmlrpc][INFO] 2024-03-05 05:14:28,145: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2024-03-05 05:14:28,145: Started XML-RPC server [http://localhost:11311/]
[xmlrpc][INFO] 2024-03-05 05:14:28,145: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-03-05 05:14:28,145: Master initialized: port[11311], uri[http://localhost:11311/]
[rosmaster.master][INFO] 2024-03-05 05:14:28,204: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,206: +PARAM [/roslaunch/uris/host_localhost__33683] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,236: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,236: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,236: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,237: +PARAM [/gazebo/enable_ros_network] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,237: +PARAM [/pointcloud_to_laserscan/target_frame] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,237: +PARAM [/pointcloud_to_laserscan/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,237: +PARAM [/pointcloud_to_laserscan/min_height] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,237: +PARAM [/pointcloud_to_laserscan/max_height] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,237: +PARAM [/pointcloud_to_laserscan/angle_min] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,237: +PARAM [/pointcloud_to_laserscan/angle_max] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,237: +PARAM [/pointcloud_to_laserscan/angle_increment] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,237: +PARAM [/pointcloud_to_laserscan/scan_time] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,237: +PARAM [/pointcloud_to_laserscan/range_min] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,237: +PARAM [/pointcloud_to_laserscan/range_max] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,237: +PARAM [/pointcloud_to_laserscan/use_inf] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,237: +PARAM [/pointcloud_to_laserscan/inf_epsilon] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,237: +PARAM [/pointcloud_to_laserscan/concurrency_level] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,237: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,237: +PARAM [/smb_joint_publisher/type] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,237: +PARAM [/smb_joint_publisher/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/smb_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/smb_velocity_controller/left_wheel] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/smb_velocity_controller/right_wheel] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/smb_velocity_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/smb_velocity_controller/pose_covariance_diagonal] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/smb_velocity_controller/twist_covariance_diagonal] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/smb_velocity_controller/cmd_vel_timeout] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/smb_velocity_controller/velocity_rolling_window_size] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/gazebo_ros_control/pid_gains/LF_WHEEL_JOINT/p] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/gazebo_ros_control/pid_gains/RF_WHEEL_JOINT/p] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/gazebo_ros_control/pid_gains/LH_WHEEL_JOINT/p] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/gazebo_ros_control/pid_gains/RH_WHEEL_JOINT/p] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/gazebo_ros_control/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/gazebo_ros_control/enable_odom_tf] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/gazebo_ros_control/estimate_velocity_from_position] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/gazebo_ros_control/wheel_separation_multiplier] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/gazebo_ros_control/wheel_radius_multiplier] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/gazebo_ros_control/linear/x/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/gazebo_ros_control/linear/x/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/gazebo_ros_control/linear/x/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/gazebo_ros_control/linear/x/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/gazebo_ros_control/angular/z/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/gazebo_ros_control/angular/z/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/gazebo_ros_control/angular/z/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/gazebo_ros_control/angular/z/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/smb_robot_state_publisher/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,238: +PARAM [/smb_robot_state_publisher/use_tf_static] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,239: +PARAM [/twist_mux/topics] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,239: +PARAM [/twist_mux/locks] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,239: +PARAM [/ekf_localization/odom_frame] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,239: +PARAM [/ekf_localization/base_link_frame] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,239: +PARAM [/ekf_localization/world_frame] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,239: +PARAM [/ekf_localization/two_d_mode] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,239: +PARAM [/ekf_localization/frequency] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,239: +PARAM [/ekf_localization/odom0] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,239: +PARAM [/ekf_localization/odom0_config] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,239: +PARAM [/ekf_localization/odom0_differential] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 05:14:28,239: +PARAM [/ekf_localization/odom0_queue_size] by /roslaunch
