[rosmaster.main][INFO] 2024-02-27 01:55:30,511: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-02-27 01:55:30,511: Starting ROS Master Node
[xmlrpc][INFO] 2024-02-27 01:55:30,512: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-02-27 01:55:30,512: Started XML-RPC server [http://TheanVIn:11311/]
[rosmaster.master][INFO] 2024-02-27 01:55:30,512: Master initialized: port[11311], uri[http://TheanVIn:11311/]
[xmlrpc][INFO] 2024-02-27 01:55:30,512: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-02-27 01:55:30,567: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-02-27 01:55:30,567: +PARAM [/roslaunch/uris/host_theanvin__42561] by /roslaunch
[rosmaster.master][INFO] 2024-02-27 01:55:30,589: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-02-27 01:55:30,589: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-02-27 01:55:30,598: +SERVICE [/rosout/get_loggers] /rosout http://TheanVIn:45687/
[rosmaster.master][INFO] 2024-02-27 01:55:30,599: +SERVICE [/rosout/set_logger_level] /rosout http://TheanVIn:45687/
[rosmaster.master][INFO] 2024-02-27 01:55:30,602: +PUB [/rosout_agg] /rosout http://TheanVIn:45687/
[rosmaster.master][INFO] 2024-02-27 01:55:30,604: +SUB [/rosout] /rosout http://TheanVIn:45687/
[rosmaster.master][INFO] 2024-02-27 01:56:29,818: +PUB [/rosout] /turtlemove_5808_1709016989700 http://TheanVIn:33675/
[rosmaster.master][INFO] 2024-02-27 01:56:29,819: +SERVICE [/turtlemove_5808_1709016989700/get_loggers] /turtlemove_5808_1709016989700 http://TheanVIn:33675/
[rosmaster.master][INFO] 2024-02-27 01:56:29,820: +SERVICE [/turtlemove_5808_1709016989700/set_logger_level] /turtlemove_5808_1709016989700 http://TheanVIn:33675/
[rosmaster.master][INFO] 2024-02-27 01:56:29,820: +PUB [/turtle1/cmd_vel] /turtlemove_5808_1709016989700 http://TheanVIn:33675/
[rosmaster.master][INFO] 2024-02-27 01:56:29,895: publisherUpdate[/rosout] -> http://TheanVIn:45687/ ['http://TheanVIn:33675/']
[rosmaster.master][INFO] 2024-02-27 01:56:29,898: publisherUpdate[/rosout] -> http://TheanVIn:45687/ ['http://TheanVIn:33675/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-02-27 01:56:45,164: -SERVICE [/turtle1/teleport_absolute] /turtlesim rosrpc://TheanVIn:55141
[rosmaster.master][INFO] 2024-02-27 01:56:45,165: -SERVICE [/turtle1/teleport_relative] /turtlesim rosrpc://TheanVIn:55141
[rosmaster.master][INFO] 2024-02-27 01:56:45,165: -SERVICE [/turtle1/set_pen] /turtlesim rosrpc://TheanVIn:55141
[rosmaster.master][INFO] 2024-02-27 01:56:45,166: -PUB [/turtle1/color_sensor] /turtlesim http://TheanVIn:40825/
[rosmaster.master][INFO] 2024-02-27 01:56:45,166: -PUB [/turtle1/pose] /turtlesim http://TheanVIn:40825/
