[rosmaster.main][INFO] 2024-03-06 11:33:20,667: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-03-06 11:33:20,667: Starting ROS Master Node
[xmlrpc][INFO] 2024-03-06 11:33:20,668: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2024-03-06 11:33:20,668: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2024-03-06 11:33:20,668: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2024-03-06 11:33:20,668: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-03-06 11:33:20,733: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 11:33:20,735: +PARAM [/roslaunch/uris/host_localhost__33629] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 11:33:20,753: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 11:33:20,753: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 11:33:20,761: +SERVICE [/rosout/get_loggers] /rosout http://localhost:40377/
[rosmaster.master][INFO] 2024-03-06 11:33:20,761: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:40377/
[rosmaster.master][INFO] 2024-03-06 11:33:20,762: +PUB [/rosout_agg] /rosout http://localhost:40377/
[rosmaster.master][INFO] 2024-03-06 11:33:20,763: +SUB [/rosout] /rosout http://localhost:40377/
[rosmaster.master][INFO] 2024-03-06 11:43:27,708: +PARAM [/roslaunch/uris/host_localhost__44091] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 11:43:27,712: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 11:43:27,712: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 11:43:27,712: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 11:43:27,713: +PARAM [/gazebo/enable_ros_network] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 11:43:27,713: +PARAM [/pointcloud_to_laserscan/target_frame] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 11:43:27,713: +PARAM [/pointcloud_to_laserscan/transform_tolerance] by /roslaunch
