[rosmaster.main][INFO] 2024-03-01 10:35:10,671: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-03-01 10:35:10,671: Starting ROS Master Node
[xmlrpc][INFO] 2024-03-01 10:35:10,672: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-03-01 10:35:10,672: Started XML-RPC server [http://TheanVIn:11311/]
[rosmaster.master][INFO] 2024-03-01 10:35:10,672: Master initialized: port[11311], uri[http://TheanVIn:11311/]
[xmlrpc][INFO] 2024-03-01 10:35:10,672: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-03-01 10:35:10,731: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-03-01 10:35:10,732: +PARAM [/roslaunch/uris/host_theanvin__43117] by /roslaunch
[rosmaster.master][INFO] 2024-03-01 10:35:10,757: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-03-01 10:35:10,757: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-03-01 10:35:10,771: +SERVICE [/rosout/get_loggers] /rosout http://TheanVIn:41127/
[rosmaster.master][INFO] 2024-03-01 10:35:10,771: +SERVICE [/rosout/set_logger_level] /rosout http://TheanVIn:41127/
[rosmaster.master][INFO] 2024-03-01 10:35:10,772: +PUB [/rosout_agg] /rosout http://TheanVIn:41127/
[rosmaster.master][INFO] 2024-03-01 10:35:10,774: +SUB [/rosout] /rosout http://TheanVIn:41127/
[rosmaster.master][INFO] 2024-03-01 10:35:13,778: -PUB [/rosout_agg] /rosout http://TheanVIn:41127/
[rosmaster.master][INFO] 2024-03-01 10:35:13,778: -SUB [/rosout] /rosout http://TheanVIn:41127/
[rosmaster.master][INFO] 2024-03-01 10:35:13,779: -SERVICE [/rosout/get_loggers] /rosout rosrpc://TheanVIn:55767
[rosmaster.master][INFO] 2024-03-01 10:35:13,779: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://TheanVIn:55767
[rosmaster.main][INFO] 2024-03-01 10:35:13,816: keyboard interrupt, will exit
[rosmaster.main][INFO] 2024-03-01 10:35:13,816: stopping master...
[rospy.core][INFO] 2024-03-01 10:35:13,816: signal_shutdown [atexit]
