[rosmaster.main][INFO] 2024-03-05 20:47:29,187: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-03-05 20:47:29,188: Starting ROS Master Node
[xmlrpc][INFO] 2024-03-05 20:47:29,188: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2024-03-05 20:47:29,188: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2024-03-05 20:47:29,189: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2024-03-05 20:47:29,189: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-03-05 20:47:29,237: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 20:47:29,237: +PARAM [/roslaunch/uris/host_localhost__43633] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 20:47:29,273: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 20:47:29,273: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 20:47:29,274: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 20:47:29,274: +PARAM [/gazebo/enable_ros_network] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 20:47:29,274: +PARAM [/pointcloud_to_laserscan/target_frame] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 20:47:29,274: +PARAM [/pointcloud_to_laserscan/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 20:47:29,274: +PARAM [/pointcloud_to_laserscan/min_height] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 20:47:29,274: +PARAM [/pointcloud_to_laserscan/max_height] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 20:47:29,274: +PARAM [/pointcloud_to_laserscan/angle_min] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 20:47:29,274: +PARAM [/pointcloud_to_laserscan/angle_max] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 20:47:29,274: +PARAM [/pointcloud_to_laserscan/angle_increment] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 20:47:29,274: +PARAM [/pointcloud_to_laserscan/scan_time] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 20:47:29,274: +PARAM [/pointcloud_to_laserscan/range_min] by /roslaunch
