[rosmaster.main][INFO] 2024-03-06 11:06:57,532: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-03-06 11:06:57,532: Starting ROS Master Node
[xmlrpc][INFO] 2024-03-06 11:06:57,533: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2024-03-06 11:06:57,533: Started XML-RPC server [http://localhost:11311/]
[xmlrpc][INFO] 2024-03-06 11:06:57,533: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-03-06 11:06:57,533: Master initialized: port[11311], uri[http://localhost:11311/]
[rosmaster.master][INFO] 2024-03-06 11:06:57,591: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 11:06:57,593: +PARAM [/roslaunch/uris/host_localhost__45191] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 11:06:57,612: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 11:06:57,612: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 11:06:57,623: +SERVICE [/rosout/get_loggers] /rosout http://localhost:43837/
[rosmaster.master][INFO] 2024-03-06 11:06:57,623: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:43837/
[rosmaster.master][INFO] 2024-03-06 11:06:57,625: +PUB [/rosout_agg] /rosout http://localhost:43837/
[rosmaster.master][INFO] 2024-03-06 11:06:57,626: +SUB [/rosout] /rosout http://localhost:43837/
[rosmaster.master][INFO] 2024-03-06 11:18:46,084: -PUB [/rosout_agg] /rosout http://localhost:43837/
[rosmaster.master][INFO] 2024-03-06 11:18:46,084: -SUB [/rosout] /rosout http://localhost:43837/
[rosmaster.master][INFO] 2024-03-06 11:18:46,085: -SERVICE [/rosout/get_loggers] /rosout rosrpc://localhost:48277
[rosmaster.master][INFO] 2024-03-06 11:18:46,085: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://localhost:48277
[rosmaster.main][INFO] 2024-03-06 11:18:46,129: keyboard interrupt, will exit
[rosmaster.main][INFO] 2024-03-06 11:18:46,130: stopping master...
[rospy.core][INFO] 2024-03-06 11:18:46,130: signal_shutdown [atexit]
