[rosmaster.main][INFO] 2024-03-01 10:30:11,175: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-03-01 10:30:11,175: Starting ROS Master Node
[xmlrpc][INFO] 2024-03-01 10:30:11,175: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-03-01 10:30:11,176: Started XML-RPC server [http://TheanVIn:11311/]
[rosmaster.master][INFO] 2024-03-01 10:30:11,176: Master initialized: port[11311], uri[http://TheanVIn:11311/]
[xmlrpc][INFO] 2024-03-01 10:30:11,176: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-03-01 10:30:11,236: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-03-01 10:30:11,237: +PARAM [/roslaunch/uris/host_theanvin__45617] by /roslaunch
[rosmaster.master][INFO] 2024-03-01 10:30:11,269: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-03-01 10:30:11,269: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-03-01 10:30:11,321: +SERVICE [/rosout/get_loggers] /rosout http://TheanVIn:42611/
[rosmaster.master][INFO] 2024-03-01 10:30:11,321: +SERVICE [/rosout/set_logger_level] /rosout http://TheanVIn:42611/
[rosmaster.master][INFO] 2024-03-01 10:30:11,322: +PUB [/rosout_agg] /rosout http://TheanVIn:42611/
[rosmaster.master][INFO] 2024-03-01 10:30:11,323: +SUB [/rosout] /rosout http://TheanVIn:42611/
[rosmaster.master][INFO] 2024-03-01 10:30:13,125: -PUB [/rosout_agg] /rosout http://TheanVIn:42611/
[rosmaster.master][INFO] 2024-03-01 10:30:13,125: -SUB [/rosout] /rosout http://TheanVIn:42611/
[rosmaster.master][INFO] 2024-03-01 10:30:13,128: -SERVICE [/rosout/get_loggers] /rosout rosrpc://TheanVIn:48195
[rosmaster.master][INFO] 2024-03-01 10:30:13,128: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://TheanVIn:48195
[rosmaster.main][INFO] 2024-03-01 10:30:13,213: keyboard interrupt, will exit
[rosmaster.main][INFO] 2024-03-01 10:30:13,213: stopping master...
[rospy.core][INFO] 2024-03-01 10:30:13,214: signal_shutdown [atexit]
