[rosmaster.main][INFO] 2024-03-05 23:04:56,014: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-03-05 23:04:56,014: Starting ROS Master Node
[xmlrpc][INFO] 2024-03-05 23:04:56,015: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2024-03-05 23:04:56,015: Started XML-RPC server [http://localhost:11311/]
[xmlrpc][INFO] 2024-03-05 23:04:56,015: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-03-05 23:04:56,015: Master initialized: port[11311], uri[http://localhost:11311/]
[rosmaster.master][INFO] 2024-03-05 23:04:56,087: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 23:04:56,088: +PARAM [/roslaunch/uris/host_localhost__33515] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 23:04:56,109: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 23:04:56,110: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 23:04:56,110: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 23:04:56,110: +PARAM [/gazebo/enable_ros_network] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 23:04:56,110: +PARAM [/pointcloud_to_laserscan/target_frame] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 23:04:56,110: +PARAM [/pointcloud_to_laserscan/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 23:04:56,110: +PARAM [/pointcloud_to_laserscan/min_height] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 23:04:56,110: +PARAM [/pointcloud_to_laserscan/max_height] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 23:04:56,110: +PARAM [/pointcloud_to_laserscan/angle_min] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 23:04:56,110: +PARAM [/pointcloud_to_laserscan/angle_max] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 23:04:56,110: +PARAM [/pointcloud_to_laserscan/angle_increment] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 23:04:56,110: +PARAM [/pointcloud_to_laserscan/scan_time] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 23:04:56,110: +PARAM [/pointcloud_to_laserscan/range_min] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 23:04:56,110: +PARAM [/pointcloud_to_laserscan/range_max] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 23:04:56,110: +PARAM [/pointcloud_to_laserscan/use_inf] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 23:04:56,110: +PARAM [/pointcloud_to_laserscan/inf_epsilon] by /roslaunch
