[rosmaster.main][INFO] 2024-03-05 22:37:07,322: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-03-05 22:37:07,322: Starting ROS Master Node
[xmlrpc][INFO] 2024-03-05 22:37:07,323: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2024-03-05 22:37:07,323: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2024-03-05 22:37:07,323: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2024-03-05 22:37:07,323: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-03-05 22:37:07,383: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 22:37:07,384: +PARAM [/roslaunch/uris/host_localhost__37181] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 22:37:07,403: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 22:37:07,404: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-03-05 22:37:07,416: +SERVICE [/rosout/get_loggers] /rosout http://localhost:36977/
[rosmaster.master][INFO] 2024-03-05 22:37:07,416: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:36977/
[rosmaster.master][INFO] 2024-03-05 22:37:07,417: +PUB [/rosout_agg] /rosout http://localhost:36977/
[rosmaster.master][INFO] 2024-03-05 22:37:07,418: +SUB [/rosout] /rosout http://localhost:36977/
[rosmaster.master][INFO] 2024-03-05 22:37:08,920: -PUB [/rosout_agg] /rosout http://localhost:36977/
[rosmaster.master][INFO] 2024-03-05 22:37:08,921: -SUB [/rosout] /rosout http://localhost:36977/
[rosmaster.master][INFO] 2024-03-05 22:37:08,921: -SERVICE [/rosout/get_loggers] /rosout rosrpc://localhost:48695
[rosmaster.master][INFO] 2024-03-05 22:37:08,921: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://localhost:48695
[rosmaster.main][INFO] 2024-03-05 22:37:08,963: keyboard interrupt, will exit
[rosmaster.main][INFO] 2024-03-05 22:37:08,963: stopping master...
[rospy.core][INFO] 2024-03-05 22:37:08,964: signal_shutdown [atexit]
